repoName,branch,javaVersion,style,buildTool,buildAction,skip,skipReason
Double-O-Seven/kamp-server-starter,master,8,,gradlew,,,
Double-O-Seven/kamp-textkey-generator,master,8,,gradlew,,,
Double-O-Seven/property-key-generator,master,8,,gradlew,,,
DoubleDoorDevelopment/CurseModpackDownloader,v1,8,,gradlew,,true,Build uses Gradle 3.x
Dovar66/RouterPlugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DozerMapper/dozer,master,8,,maven,,,
DraqueT/PolyGlot,master,8,,maven,,,
Dreampie/thrift-gradle-plugin,master,8,,gradlew,,true,Build uses Gradle 3.x
DreamtChaos/mucommander,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DroidsOnRoids/android-gradle-aosp-aapt-plugin,master,8,,gradlew,,true,Build uses Gradle 2.x
DroidsOnRoids/android-gradle-ui-test-plugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
Dropbox/AffectedModuleDetector,main,8,,gradlew,,,
Dylancyclone/VMF2OBJ,master,8,,maven,,,
Dyvil/Dyvil-Gradle-Plugin,master,8,,gradlew,,,
Dzikovskiy/ITS-Task,postgresql,8,,maven,,,
E-Alharbi/ROBIN,master,8,,maven,,,
EMCECS/ecs-sync,master,8,,gradlew,,,
ESAPI/esapi-java-legacy,develop,8,,maven,,,
Earnix/Web-K,master,8,,maven,,,
EasyinnovaSL/DPFManager,develop,8,,maven,,,
EightBitBoy/grafie,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
Ekryd/sortpom,master,8,,maven,,,
Elec332/GradleJavaCppPlugin,master,8,,gradlew,,,
Elec332/GradleOSSRHPlugin,master,8,,gradlew,,,
Elecs-Mods/GradleModDev,master,8,,gradlew,,,
ElinaValieva/micronaut-quickstarts,master,8,,gradlew,,,
Enaium/transform,master,8,,gradle,,,
EndlessCodeGroup/BukkitGradle,develop,8,,gradlew,,,
EngineHub/CommandHelper,master,8,,maven,,,
Ensembl/ensj-healthcheck,release/104,8,,maven,,,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,uinverse,8,,gradlew,,true,Build uses Gradle 2.x
Erdenian/shrinkometer,master,8,,gradlew,,,
Ereza/CustomActivityOnCrash,master,11,,gradlew,,,
Ericsson/ecchronos,master,8,,maven,,,
Ericsson/scenarios,master,8,,maven,,,
EspoirX/Knight,main,8,,gradlew,,,
Esri/geoportal-server-harvester,master,11,,maven,,,
EssentialsX/Essentials,2.x,8,,gradlew,,,
Etar-Group/Etar-Calendar,master,11,,gradlew,,,
EtienneMiret/sass-gradle-plugin,master,8,,gradlew,,,
EvidentSolutions/apina,main,8,,gradlew,,,
EvidentSolutions/gradle-beanstalk-plugin,master,8,,gradlew,,,
EvidentSolutions/gradle-gzjar-plugin,master,8,,gradlew,,,
EvoSuite/evosuite,master,8,,maven,,,
Evolveum/midpoint,master,8,,maven,,,
Ewpratten/gradle-test-ui,master,8,,gradlew,,,
ExpediaGroup/styx,master,11,,maven,,,
Exploding-Creeper/CurseGradle,17,8,,gradlew,,,
EzequielB/gradle-dependency-enforcer,master,8,,gradlew,,true,Build uses Gradle 2.x
F43nd1r/gradle-release,master,8,,gradlew,,,
F43nd1r/gradlekeepass,master,8,,gradlew,,,
FAForever/faf-java-api,develop,8,,gradlew,,,
FIDATA/gradle-keygen-plugin,master,8,,gradlew,,,
FIDATA/gradle-packer-plugin,develop,8,,gradlew,,,
FIDATA/gradle-prerequisites-plugin,master,8,,gradlew,,,
FINRAOS/DataGenerator,master,8,,maven,,,
FISCO-BCOS/bcos-sdk-jni,master,8,,gradlew,,,
FMSLLC/Keycloak-8.0.1,master,8,,maven,,,
